"left","right","status","reason"
"GR-08","MV-27","orthogonal","different decision"
"GR-08","MV-28","orthogonal","different decision"
"GR-08","MV-29","orthogonal","different decision"
"GR-08","MV-30","orthogonal","different decision"
"GR-08","MV-31","orthogonal","different decision"
"GR-08","MV-32","orthogonal","different decision"
"GR-08","MV-33","orthogonal","different decision"
"GR-08","MV-34","orthogonal","different decision"
"GR-08","MV-35","orthogonal","different decision"
"GR-08","MV-36","orthogonal","different decision"
"GR-08","MV-37","orthogonal","different decision"
"GR-08","MV-38","orthogonal","different decision"
"GR-08","MV-39","orthogonal","different decision"
"GR-08","MV-40","orthogonal","different decision"
"GR-08","VS-01","orthogonal","different decision"
"GR-08","VS-02","orthogonal","different decision"
"GR-08","VS-03","orthogonal","different decision"
"GR-08","VS-04","orthogonal","different decision"
"GR-08","VS-05","orthogonal","different decision"
"GR-08","VS-06","orthogonal","different decision"
"GR-08","VS-07","orthogonal","different decision"
"GR-08","VS-08","orthogonal","different decision"
"GR-08","VS-09","orthogonal","different decision"
"GR-08","DP-01","orthogonal","different decision"
"GR-08","DP-02","orthogonal","different decision"
"GR-08","DP-03","orthogonal","different decision"
"GR-08","DP-04","orthogonal","different decision"
"GR-08","DP-05","orthogonal","different decision"
"GR-08","DP-06","orthogonal","different decision"
"GR-08","DP-07","orthogonal","different decision"
"GR-08","DP-08","orthogonal","different decision"
"GR-08","DP-09","orthogonal","different decision"
"GR-08","DP-10","orthogonal","different decision"
"GR-08","DP-11","orthogonal","different decision"
"GR-08","DP-13","orthogonal","different decision"
"GR-08","DP-14","orthogonal","different decision"
"GR-08","DP-12","orthogonal","different decision"
"GR-08","JS-01","orthogonal","different decision"
"GR-08","JS-02","orthogonal","different decision"
"GR-08","JS-03","orthogonal","different decision"
"GR-08","JS-04","orthogonal","different decision"
"GR-08","JS-05","orthogonal","different decision"
"GR-08","JS-06","orthogonal","different decision"
"GR-08","JS-07","orthogonal","different decision"
"GR-08","JS-08","orthogonal","different decision"
"GR-08","JS-09","orthogonal","different decision"
"GR-08","JS-10","orthogonal","different decision"
"GR-08","KB-01","orthogonal","different decision"
"GR-08","KB-02","orthogonal","different decision"
"GR-08","KB-03","orthogonal","different decision"
"GR-08","KB-04","orthogonal","different decision"
"GR-08","KB-05","orthogonal","different decision"
"GR-08","KB-06","orthogonal","different decision"
"GR-08","KB-07","orthogonal","different decision"
"GR-08","KB-08","orthogonal","different decision"
"GR-08","KB-09","orthogonal","different decision"
"GR-08","KB-10","orthogonal","different decision"
"GR-08","KB-11","orthogonal","different decision"
"GR-08","KB-12","orthogonal","different decision"
"GR-08","KB-13","orthogonal","different decision"
"GR-08","KB-15","orthogonal","different decision"
"GR-08","KB-14","orthogonal","different decision"
"GR-08","SV-01","orthogonal","different decision"
"GR-08","SV-02","orthogonal","different decision"
"GR-08","SV-03","orthogonal","different decision"
"GR-08","SV-04","orthogonal","different decision"
"GR-08","SV-05","orthogonal","different decision"
"GR-08","IM-01","orthogonal","different decision"
"GR-08","IM-02","orthogonal","different decision"
"GR-08","IM-03","orthogonal","different decision"
"GR-08","IM-04","orthogonal","different decision"
"GR-08","IM-05","orthogonal","different decision"
"GR-08","IM-06","orthogonal","different decision"
"GR-08","IM-07","orthogonal","different decision"
"GR-08","IM-08","orthogonal","different decision"
"GR-08","IM-09","orthogonal","different decision"
"GR-08","IM-10","orthogonal","different decision"
"GR-08","IM-11","orthogonal","different decision"
"GR-08","IM-12","orthogonal","different decision"
"GR-08","IM-13","orthogonal","different decision"
"GR-08","IM-14","orthogonal","different decision"
"GR-08","IM-15","orthogonal","different decision"
"GR-08","IM-16","orthogonal","different decision"
"GR-08","IM-17","orthogonal","different decision"
"GR-09","IN-01","orthogonal","different decision"
"GR-09","IN-02","orthogonal","different decision"
"GR-09","IN-03","orthogonal","different decision"
"GR-09","IN-04","orthogonal","different decision"
"GR-09","IN-05","orthogonal","different decision"
"GR-09","SL-01","orthogonal","different decision"
"GR-09","SL-02","orthogonal","different decision"
"GR-09","SL-03","orthogonal","different decision"
"GR-09","SL-04","orthogonal","different decision"
"GR-09","SL-05","orthogonal","different decision"
"GR-09","SL-06","orthogonal","different decision"
"GR-09","SL-07","orthogonal","different decision"
"GR-09","SL-08","orthogonal","different decision"
"GR-09","SL-09","orthogonal","different decision"
"GR-09","SL-10","orthogonal","different decision"
"GR-09","SL-11","orthogonal","different decision"
"GR-09","SL-12","orthogonal","different decision"
"GR-09","SL-13","orthogonal","different decision"
"GR-09","SL-14","orthogonal","different decision"
"GR-09","SL-15","orthogonal","different decision"
"GR-09","SQ-01","orthogonal","different decision"
"GR-09","SQ-02","orthogonal","different decision"
"GR-09","SQ-03","orthogonal","different decision"
"GR-09","SQ-04","orthogonal","different decision"
"GR-09","SQ-05","orthogonal","different decision"
"GR-09","GR-01","orthogonal","different decision"
"GR-09","GR-02","orthogonal","different decision"
"GR-09","GR-18","orthogonal","different decision"
"GR-09","GR-19","orthogonal","different decision"
"GR-09","GR-20","orthogonal","different decision"
"GR-09","GR-03","orthogonal","different decision"
"GR-09","GR-04","orthogonal","different decision"
"GR-09","GR-05","orthogonal","different decision"
"GR-09","GR-06","orthogonal","different decision"
"GR-09","GR-07","orthogonal","different decision"
"GR-09","GR-08","orthogonal","different decision"
"GR-09","GR-09","self","same rule"
"GR-09","GR-10","orthogonal","different decision"
"GR-09","GR-11","orthogonal","different decision"
"GR-09","GR-12","orthogonal","different decision"
"GR-09","GR-13","orthogonal","different decision"
"GR-09","GR-14","orthogonal","different decision"
"GR-09","GR-15","orthogonal","different decision"
"GR-09","GR-16","orthogonal","different decision"
"GR-09","GR-17","orthogonal","different decision"
"GR-09","PS-01","orthogonal","different decision"
"GR-09","PS-02","orthogonal","different decision"
"GR-09","PS-03","orthogonal","different decision"
"GR-09","PS-04","orthogonal","different decision"
"GR-09","PS-05","orthogonal","different decision"
"GR-09","PS-06","orthogonal","different decision"
"GR-09","PS-07","orthogonal","different decision"
"GR-09","PS-08","orthogonal","different decision"
"GR-09","PS-09","orthogonal","different decision"
"GR-09","PS-10","orthogonal","different decision"
"GR-09","PS-11","orthogonal","different decision"
"GR-09","PS-12","orthogonal","different decision"
"GR-09","PS-13","orthogonal","different decision"
"GR-09","PS-14","orthogonal","different decision"
"GR-09","PS-15","orthogonal","different decision"
"GR-09","BD-01","orthogonal","different decision"
"GR-09","BD-02","orthogonal","different decision"
"GR-09","BD-03","orthogonal","different decision"
"GR-09","BD-04","orthogonal","different decision"
"GR-09","BD-05","orthogonal","different decision"
"GR-09","BD-06","orthogonal","different decision"
"GR-09","BD-07","orthogonal","different decision"
"GR-09","AR-01","orthogonal","different decision"
"GR-09","AR-02","orthogonal","different decision"
"GR-09","AR-03","orthogonal","different decision"
"GR-09","AR-04","orthogonal","different decision"
"GR-09","AR-05","orthogonal","different decision"
"GR-09","AR-06","orthogonal","different decision"
"GR-09","AR-07","orthogonal","different decision"
"GR-09","AR-08","orthogonal","different decision"
"GR-09","AR-09","orthogonal","different decision"
"GR-09","AR-10","orthogonal","different decision"
"GR-09","AR-11","orthogonal","different decision"
"GR-09","AR-12","orthogonal","different decision"
"GR-09","AR-13","orthogonal","different decision"
"GR-09","AR-14","orthogonal","different decision"
"GR-09","AR-15","orthogonal","different decision"
"GR-09","AR-16","orthogonal","different decision"
"GR-09","AR-17","orthogonal","different decision"
"GR-09","MV-01","orthogonal","different decision"
"GR-09","MV-02","orthogonal","different decision"
"GR-09","MV-03","orthogonal","different decision"
"GR-09","MV-04","orthogonal","different decision"
"GR-09","MV-05","orthogonal","different decision"
"GR-09","MV-06","orthogonal","different decision"
"GR-09","MV-07","orthogonal","different decision"
"GR-09","MV-08","orthogonal","different decision"
"GR-09","MV-09","orthogonal","different decision"
"GR-09","MV-10","orthogonal","different decision"
"GR-09","MV-11","orthogonal","different decision"
"GR-09","MV-12","orthogonal","different decision"
"GR-09","MV-13","orthogonal","different decision"
"GR-09","MV-14","orthogonal","different decision"
"GR-09","MV-15","orthogonal","different decision"
"GR-09","MV-16","orthogonal","different decision"
"GR-09","MV-17","orthogonal","different decision"
"GR-09","MV-18","orthogonal","different decision"
"GR-09","MV-19","orthogonal","different decision"
"GR-09","MV-20","orthogonal","different decision"
"GR-09","MV-21","orthogonal","different decision"
"GR-09","MV-22","orthogonal","different decision"
"GR-09","MV-23","orthogonal","different decision"
"GR-09","MV-24","orthogonal","different decision"
"GR-09","MV-25","orthogonal","different decision"
"GR-09","MV-26","orthogonal","different decision"
"GR-09","MV-27","orthogonal","different decision"
"GR-09","MV-28","orthogonal","different decision"
"GR-09","MV-29","orthogonal","different decision"
"GR-09","MV-30","orthogonal","different decision"
"GR-09","MV-31","orthogonal","different decision"
"GR-09","MV-32","orthogonal","different decision"
"GR-09","MV-33","orthogonal","different decision"
"GR-09","MV-34","orthogonal","different decision"
"GR-09","MV-35","orthogonal","different decision"
"GR-09","MV-36","orthogonal","different decision"
"GR-09","MV-37","orthogonal","different decision"
"GR-09","MV-38","orthogonal","different decision"
"GR-09","MV-39","orthogonal","different decision"
"GR-09","MV-40","orthogonal","different decision"
"GR-09","VS-01","orthogonal","different decision"
"GR-09","VS-02","orthogonal","different decision"
"GR-09","VS-03","orthogonal","different decision"
"GR-09","VS-04","orthogonal","different decision"
"GR-09","VS-05","orthogonal","different decision"
"GR-09","VS-06","orthogonal","different decision"
"GR-09","VS-07","orthogonal","different decision"
"GR-09","VS-08","orthogonal","different decision"
"GR-09","VS-09","orthogonal","different decision"
"GR-09","DP-01","orthogonal","different decision"
"GR-09","DP-02","orthogonal","different decision"
"GR-09","DP-03","orthogonal","different decision"
"GR-09","DP-04","orthogonal","different decision"
"GR-09","DP-05","orthogonal","different decision"
"GR-09","DP-06","orthogonal","different decision"
"GR-09","DP-07","orthogonal","different decision"
"GR-09","DP-08","orthogonal","different decision"
"GR-09","DP-09","orthogonal","different decision"
"GR-09","DP-10","orthogonal","different decision"
"GR-09","DP-11","orthogonal","different decision"
"GR-09","DP-13","orthogonal","different decision"
"GR-09","DP-14","orthogonal","different decision"
"GR-09","DP-12","orthogonal","different decision"
"GR-09","JS-01","orthogonal","different decision"
"GR-09","JS-02","orthogonal","different decision"
"GR-09","JS-03","orthogonal","different decision"
"GR-09","JS-04","orthogonal","different decision"
"GR-09","JS-05","orthogonal","different decision"
"GR-09","JS-06","orthogonal","different decision"
"GR-09","JS-07","orthogonal","different decision"
"GR-09","JS-08","orthogonal","different decision"
"GR-09","JS-09","orthogonal","different decision"
"GR-09","JS-10","orthogonal","different decision"
"GR-09","KB-01","orthogonal","different decision"
"GR-09","KB-02","orthogonal","different decision"
"GR-09","KB-03","orthogonal","different decision"
"GR-09","KB-04","orthogonal","different decision"
"GR-09","KB-05","orthogonal","different decision"
"GR-09","KB-06","orthogonal","different decision"
"GR-09","KB-07","orthogonal","different decision"
"GR-09","KB-08","orthogonal","different decision"
"GR-09","KB-09","orthogonal","different decision"
"GR-09","KB-10","orthogonal","different decision"
"GR-09","KB-11","orthogonal","different decision"
"GR-09","KB-12","orthogonal","different decision"
"GR-09","KB-13","orthogonal","different decision"
"GR-09","KB-15","orthogonal","different decision"
"GR-09","KB-14","orthogonal","different decision"
"GR-09","SV-01","orthogonal","different decision"
"GR-09","SV-02","orthogonal","different decision"
"GR-09","SV-03","orthogonal","different decision"
"GR-09","SV-04","orthogonal","different decision"
"GR-09","SV-05","orthogonal","different decision"
"GR-09","IM-01","orthogonal","different decision"
"GR-09","IM-02","orthogonal","different decision"
"GR-09","IM-03","orthogonal","different decision"
"GR-09","IM-04","orthogonal","different decision"
"GR-09","IM-05","orthogonal","different decision"
"GR-09","IM-06","orthogonal","different decision"
"GR-09","IM-07","orthogonal","different decision"
"GR-09","IM-08","orthogonal","different decision"
"GR-09","IM-09","orthogonal","different decision"
"GR-09","IM-10","orthogonal","different decision"
"GR-09","IM-11","orthogonal","different decision"
"GR-09","IM-12","orthogonal","different decision"
"GR-09","IM-13","orthogonal","different decision"
"GR-09","IM-14","orthogonal","different decision"
"GR-09","IM-15","orthogonal","different decision"
"GR-09","IM-16","orthogonal","different decision"
"GR-09","IM-17","orthogonal","different decision"
"GR-10","IN-01","orthogonal","different decision"
"GR-10","IN-02","orthogonal","different decision"
"GR-10","IN-03","orthogonal","different decision"
"GR-10","IN-04","orthogonal","different decision"
"GR-10","IN-05","orthogonal","different decision"
"GR-10","SL-01","orthogonal","different decision"
"GR-10","SL-02","orthogonal","different decision"
"GR-10","SL-03","orthogonal","different decision"
"GR-10","SL-04","orthogonal","different decision"
"GR-10","SL-05","orthogonal","different decision"
"GR-10","SL-06","orthogonal","different decision"
"GR-10","SL-07","orthogonal","different decision"
"GR-10","SL-08","orthogonal","different decision"
"GR-10","SL-09","orthogonal","different decision"
"GR-10","SL-10","orthogonal","different decision"
"GR-10","SL-11","orthogonal","different decision"
"GR-10","SL-12","orthogonal","different decision"
"GR-10","SL-13","orthogonal","different decision"
"GR-10","SL-14","orthogonal","different decision"
"GR-10","SL-15","orthogonal","different decision"
"GR-10","SQ-01","orthogonal","different decision"
"GR-10","SQ-02","orthogonal","different decision"
"GR-10","SQ-03","orthogonal","different decision"
"GR-10","SQ-04","orthogonal","different decision"
"GR-10","SQ-05","orthogonal","different decision"
"GR-10","GR-01","orthogonal","different decision"
"GR-10","GR-02","orthogonal","different decision"
"GR-10","GR-18","orthogonal","different decision"
"GR-10","GR-19","orthogonal","different decision"
"GR-10","GR-20","orthogonal","different decision"
"GR-10","GR-03","orthogonal","different decision"
"GR-10","GR-04","orthogonal","different decision"
"GR-10","GR-05","orthogonal","different decision"
"GR-10","GR-06","orthogonal","different decision"
"GR-10","GR-07","orthogonal","different decision"
"GR-10","GR-08","orthogonal","different decision"
"GR-10","GR-09","orthogonal","different decision"
"GR-10","GR-10","self","same rule"
"GR-10","GR-11","orthogonal","different decision"
"GR-10","GR-12","orthogonal","different decision"
"GR-10","GR-13","orthogonal","different decision"
"GR-10","GR-14","orthogonal","different decision"
"GR-10","GR-15","orthogonal","different decision"
"GR-10","GR-16","orthogonal","different decision"
"GR-10","GR-17","orthogonal","different decision"
"GR-10","PS-01","orthogonal","different decision"
"GR-10","PS-02","orthogonal","different decision"
"GR-10","PS-03","orthogonal","different decision"
"GR-10","PS-04","orthogonal","different decision"
"GR-10","PS-05","orthogonal","different decision"
"GR-10","PS-06","orthogonal","different decision"
"GR-10","PS-07","orthogonal","different decision"
"GR-10","PS-08","orthogonal","different decision"
"GR-10","PS-09","orthogonal","different decision"
"GR-10","PS-10","orthogonal","different decision"
"GR-10","PS-11","orthogonal","different decision"
"GR-10","PS-12","orthogonal","different decision"
"GR-10","PS-13","orthogonal","different decision"
"GR-10","PS-14","orthogonal","different decision"
"GR-10","PS-15","orthogonal","different decision"
"GR-10","BD-01","orthogonal","different decision"
"GR-10","BD-02","orthogonal","different decision"
"GR-10","BD-03","orthogonal","different decision"
"GR-10","BD-04","orthogonal","different decision"
"GR-10","BD-05","orthogonal","different decision"
"GR-10","BD-06","orthogonal","different decision"
"GR-10","BD-07","orthogonal","different decision"
"GR-10","AR-01","orthogonal","different decision"
"GR-10","AR-02","orthogonal","different decision"
"GR-10","AR-03","orthogonal","different decision"
"GR-10","AR-04","orthogonal","different decision"
"GR-10","AR-05","orthogonal","different decision"
"GR-10","AR-06","orthogonal","different decision"
"GR-10","AR-07","orthogonal","different decision"
"GR-10","AR-08","orthogonal","different decision"
"GR-10","AR-09","orthogonal","different decision"
"GR-10","AR-10","orthogonal","different decision"
"GR-10","AR-11","orthogonal","different decision"
"GR-10","AR-12","orthogonal","different decision"
"GR-10","AR-13","orthogonal","different decision"
"GR-10","AR-14","orthogonal","different decision"
"GR-10","AR-15","orthogonal","different decision"
"GR-10","AR-16","orthogonal","different decision"
"GR-10","AR-17","orthogonal","different decision"
"GR-10","MV-01","orthogonal","different decision"
"GR-10","MV-02","orthogonal","different decision"
"GR-10","MV-03","orthogonal","different decision"
"GR-10","MV-04","orthogonal","different decision"
"GR-10","MV-05","orthogonal","different decision"
"GR-10","MV-06","orthogonal","different decision"
"GR-10","MV-07","orthogonal","different decision"
"GR-10","MV-08","orthogonal","different decision"
"GR-10","MV-09","orthogonal","different decision"
"GR-10","MV-10","orthogonal","different decision"
"GR-10","MV-11","orthogonal","different decision"
"GR-10","MV-12","orthogonal","different decision"
"GR-10","MV-13","orthogonal","different decision"
"GR-10","MV-14","orthogonal","different decision"
"GR-10","MV-15","orthogonal","different decision"
"GR-10","MV-16","orthogonal","different decision"
"GR-10","MV-17","orthogonal","different decision"
"GR-10","MV-18","orthogonal","different decision"
"GR-10","MV-19","orthogonal","different decision"
"GR-10","MV-20","orthogonal","different decision"
"GR-10","MV-21","orthogonal","different decision"
"GR-10","MV-22","orthogonal","different decision"
"GR-10","MV-23","orthogonal","different decision"
"GR-10","MV-24","orthogonal","different decision"
"GR-10","MV-25","orthogonal","different decision"
"GR-10","MV-26","orthogonal","different decision"
"GR-10","MV-27","orthogonal","different decision"
"GR-10","MV-28","orthogonal","different decision"
"GR-10","MV-29","orthogonal","different decision"
"GR-10","MV-30","orthogonal","different decision"
"GR-10","MV-31","orthogonal","different decision"
"GR-10","MV-32","orthogonal","different decision"
"GR-10","MV-33","orthogonal","different decision"
"GR-10","MV-34","orthogonal","different decision"
"GR-10","MV-35","orthogonal","different decision"
"GR-10","MV-36","orthogonal","different decision"
"GR-10","MV-37","orthogonal","different decision"
"GR-10","MV-38","orthogonal","different decision"
"GR-10","MV-39","orthogonal","different decision"
"GR-10","MV-40","orthogonal","different decision"
"GR-10","VS-01","orthogonal","different decision"
"GR-10","VS-02","orthogonal","different decision"
"GR-10","VS-03","orthogonal","different decision"
"GR-10","VS-04","orthogonal","different decision"
"GR-10","VS-05","orthogonal","different decision"
"GR-10","VS-06","orthogonal","different decision"
"GR-10","VS-07","orthogonal","different decision"
"GR-10","VS-08","orthogonal","different decision"
"GR-10","VS-09","orthogonal","different decision"
"GR-10","DP-01","orthogonal","different decision"
"GR-10","DP-02","orthogonal","different decision"
"GR-10","DP-03","orthogonal","different decision"
"GR-10","DP-04","orthogonal","different decision"
"GR-10","DP-05","orthogonal","different decision"
"GR-10","DP-06","orthogonal","different decision"
"GR-10","DP-07","orthogonal","different decision"
"GR-10","DP-08","orthogonal","different decision"
"GR-10","DP-09","orthogonal","different decision"
"GR-10","DP-10","orthogonal","different decision"
"GR-10","DP-11","orthogonal","different decision"
"GR-10","DP-13","orthogonal","different decision"
"GR-10","DP-14","orthogonal","different decision"
"GR-10","DP-12","orthogonal","different decision"
"GR-10","JS-01","orthogonal","different decision"
"GR-10","JS-02","orthogonal","different decision"
"GR-10","JS-03","orthogonal","different decision"
"GR-10","JS-04","orthogonal","different decision"
"GR-10","JS-05","orthogonal","different decision"
"GR-10","JS-06","orthogonal","different decision"
"GR-10","JS-07","orthogonal","different decision"
"GR-10","JS-08","orthogonal","different decision"
"GR-10","JS-09","orthogonal","different decision"
"GR-10","JS-10","orthogonal","different decision"
"GR-10","KB-01","orthogonal","different decision"
"GR-10","KB-02","orthogonal","different decision"
"GR-10","KB-03","orthogonal","different decision"
"GR-10","KB-04","orthogonal","different decision"
"GR-10","KB-05","orthogonal","different decision"
"GR-10","KB-06","orthogonal","different decision"
"GR-10","KB-07","orthogonal","different decision"
"GR-10","KB-08","orthogonal","different decision"
"GR-10","KB-09","orthogonal","different decision"
"GR-10","KB-10","orthogonal","different decision"
"GR-10","KB-11","orthogonal","different decision"
"GR-10","KB-12","orthogonal","different decision"
"GR-10","KB-13","orthogonal","different decision"
"GR-10","KB-15","orthogonal","different decision"
"GR-10","KB-14","orthogonal","different decision"
"GR-10","SV-01","orthogonal","different decision"
"GR-10","SV-02","orthogonal","different decision"
"GR-10","SV-03","orthogonal","different decision"
"GR-10","SV-04","orthogonal","different decision"
"GR-10","SV-05","orthogonal","different decision"
"GR-10","IM-01","orthogonal","different decision"
"GR-10","IM-02","orthogonal","different decision"
"GR-10","IM-03","orthogonal","different decision"
"GR-10","IM-04","orthogonal","different decision"
"GR-10","IM-05","orthogonal","different decision"
"GR-10","IM-06","orthogonal","different decision"
"GR-10","IM-07","orthogonal","different decision"
"GR-10","IM-08","orthogonal","different decision"
"GR-10","IM-09","orthogonal","different decision"
"GR-10","IM-10","orthogonal","different decision"
"GR-10","IM-11","orthogonal","different decision"
"GR-10","IM-12","orthogonal","different decision"
"GR-10","IM-13","orthogonal","different decision"
"GR-10","IM-14","orthogonal","different decision"
"GR-10","IM-15","orthogonal","different decision"
"GR-10","IM-16","orthogonal","different decision"
"GR-10","IM-17","orthogonal","different decision"
"GR-11","IN-01","orthogonal","different decision"
"GR-11","IN-02","orthogonal","different decision"
"GR-11","IN-03","orthogonal","different decision"
"GR-11","IN-04","orthogonal","different decision"
"GR-11","IN-05","orthogonal","different decision"
"GR-11","SL-01","orthogonal","different decision"
"GR-11","SL-02","orthogonal","different decision"
"GR-11","SL-03","orthogonal","different decision"
"GR-11","SL-04","orthogonal","different decision"
"GR-11","SL-05","orthogonal","different decision"
"GR-11","SL-06","orthogonal","different decision"
"GR-11","SL-07","orthogonal","different decision"
"GR-11","SL-08","orthogonal","different decision"
"GR-11","SL-09","orthogonal","different decision"
"GR-11","SL-10","orthogonal","different decision"
"GR-11","SL-11","orthogonal","different decision"
"GR-11","SL-12","orthogonal","different decision"
"GR-11","SL-13","orthogonal","different decision"
"GR-11","SL-14","orthogonal","different decision"
"GR-11","SL-15","orthogonal","different decision"
"GR-11","SQ-01","orthogonal","different decision"
"GR-11","SQ-02","orthogonal","different decision"
"GR-11","SQ-03","orthogonal","different decision"
"GR-11","SQ-04","orthogonal","different decision"
"GR-11","SQ-05","orthogonal","different decision"
"GR-11","GR-01","orthogonal","different decision"
"GR-11","GR-02","orthogonal","different decision"
"GR-11","GR-18","orthogonal","different decision"
"GR-11","GR-19","orthogonal","different decision"
"GR-11","GR-20","orthogonal","different decision"
"GR-11","GR-03","orthogonal","different decision"
"GR-11","GR-04","orthogonal","different decision"
"GR-11","GR-05","orthogonal","different decision"
"GR-11","GR-06","orthogonal","different decision"
"GR-11","GR-07","orthogonal","different decision"
"GR-11","GR-08","orthogonal","different decision"
"GR-11","GR-09","orthogonal","different decision"
"GR-11","GR-10","orthogonal","different decision"
"GR-11","GR-11","self","same rule"
"GR-11","GR-12","orthogonal","different decision"
"GR-11","GR-13","orthogonal","different decision"
"GR-11","GR-14","orthogonal","different decision"
"GR-11","GR-15","orthogonal","different decision"
"GR-11","GR-16","orthogonal","different decision"
"GR-11","GR-17","orthogonal","different decision"
"GR-11","PS-01","orthogonal","different decision"
"GR-11","PS-02","orthogonal","different decision"
"GR-11","PS-03","orthogonal","different decision"
"GR-11","PS-04","orthogonal","different decision"
"GR-11","PS-05","orthogonal","different decision"
"GR-11","PS-06","orthogonal","different decision"
"GR-11","PS-07","orthogonal","different decision"
"GR-11","PS-08","orthogonal","different decision"
"GR-11","PS-09","orthogonal","different decision"
"GR-11","PS-10","orthogonal","different decision"
"GR-11","PS-11","orthogonal","different decision"
"GR-11","PS-12","orthogonal","different decision"
"GR-11","PS-13","orthogonal","different decision"
"GR-11","PS-14","orthogonal","different decision"
"GR-11","PS-15","orthogonal","different decision"
"GR-11","BD-01","orthogonal","different decision"
"GR-11","BD-02","orthogonal","different decision"
"GR-11","BD-03","orthogonal","different decision"
"GR-11","BD-04","orthogonal","different decision"
"GR-11","BD-05","orthogonal","different decision"
"GR-11","BD-06","orthogonal","different decision"
"GR-11","BD-07","orthogonal","different decision"
"GR-11","AR-01","orthogonal","different decision"
"GR-11","AR-02","orthogonal","different decision"
"GR-11","AR-03","orthogonal","different decision"
"GR-11","AR-04","orthogonal","different decision"
"GR-11","AR-05","orthogonal","different decision"
"GR-11","AR-06","orthogonal","different decision"
"GR-11","AR-07","orthogonal","different decision"
"GR-11","AR-08","orthogonal","different decision"
"GR-11","AR-09","orthogonal","different decision"
"GR-11","AR-10","orthogonal","different decision"
"GR-11","AR-11","orthogonal","different decision"
"GR-11","AR-12","orthogonal","different decision"
"GR-11","AR-13","orthogonal","different decision"
"GR-11","AR-14","orthogonal","different decision"
"GR-11","AR-15","orthogonal","different decision"
"GR-11","AR-16","orthogonal","different decision"
"GR-11","AR-17","orthogonal","different decision"
"GR-11","MV-01","orthogonal","different decision"
"GR-11","MV-02","orthogonal","different decision"
"GR-11","MV-03","orthogonal","different decision"
"GR-11","MV-04","orthogonal","different decision"
"GR-11","MV-05","orthogonal","different decision"
"GR-11","MV-06","orthogonal","different decision"
"GR-11","MV-07","orthogonal","different decision"
"GR-11","MV-08","orthogonal","different decision"
"GR-11","MV-09","orthogonal","different decision"
"GR-11","MV-10","orthogonal","different decision"
"GR-11","MV-11","orthogonal","different decision"
"GR-11","MV-12","orthogonal","different decision"
"GR-11","MV-13","orthogonal","different decision"
"GR-11","MV-14","orthogonal","different decision"
"GR-11","MV-15","orthogonal","different decision"
"GR-11","MV-16","orthogonal","different decision"
"GR-11","MV-17","orthogonal","different decision"
"GR-11","MV-18","orthogonal","different decision"
"GR-11","MV-19","orthogonal","different decision"
"GR-11","MV-20","orthogonal","different decision"
"GR-11","MV-21","orthogonal","different decision"
"GR-11","MV-22","orthogonal","different decision"
"GR-11","MV-23","orthogonal","different decision"
"GR-11","MV-24","orthogonal","different decision"
"GR-11","MV-25","orthogonal","different decision"
"GR-11","MV-26","orthogonal","different decision"
"GR-11","MV-27","orthogonal","different decision"
"GR-11","MV-28","orthogonal","different decision"
"GR-11","MV-29","orthogonal","different decision"
"GR-11","MV-30","orthogonal","different decision"
"GR-11","MV-31","orthogonal","different decision"
"GR-11","MV-32","orthogonal","different decision"
"GR-11","MV-33","orthogonal","different decision"
"GR-11","MV-34","orthogonal","different decision"
"GR-11","MV-35","orthogonal","different decision"
"GR-11","MV-36","orthogonal","different decision"
"GR-11","MV-37","orthogonal","different decision"
"GR-11","MV-38","orthogonal","different decision"
"GR-11","MV-39","orthogonal","different decision"
"GR-11","MV-40","orthogonal","different decision"
"GR-11","VS-01","orthogonal","different decision"
"GR-11","VS-02","orthogonal","different decision"
"GR-11","VS-03","orthogonal","different decision"
"GR-11","VS-04","orthogonal","different decision"
"GR-11","VS-05","orthogonal","different decision"
"GR-11","VS-06","orthogonal","different decision"
"GR-11","VS-07","orthogonal","different decision"
"GR-11","VS-08","orthogonal","different decision"
"GR-11","VS-09","orthogonal","different decision"
"GR-11","DP-01","orthogonal","different decision"
"GR-11","DP-02","orthogonal","different decision"
"GR-11","DP-03","orthogonal","different decision"
"GR-11","DP-04","orthogonal","different decision"
"GR-11","DP-05","orthogonal","different decision"
"GR-11","DP-06","orthogonal","different decision"
"GR-11","DP-07","orthogonal","different decision"
"GR-11","DP-08","orthogonal","different decision"
"GR-11","DP-09","orthogonal","different decision"
"GR-11","DP-10","orthogonal","different decision"
"GR-11","DP-11","orthogonal","different decision"
"GR-11","DP-13","orthogonal","different decision"
"GR-11","DP-14","orthogonal","different decision"
"GR-11","DP-12","orthogonal","different decision"
"GR-11","JS-01","orthogonal","different decision"
"GR-11","JS-02","orthogonal","different decision"
"GR-11","JS-03","orthogonal","different decision"
"GR-11","JS-04","orthogonal","different decision"
"GR-11","JS-05","orthogonal","different decision"
"GR-11","JS-06","orthogonal","different decision"
"GR-11","JS-07","orthogonal","different decision"
"GR-11","JS-08","orthogonal","different decision"
"GR-11","JS-09","orthogonal","different decision"
"GR-11","JS-10","orthogonal","different decision"
"GR-11","KB-01","orthogonal","different decision"
"GR-11","KB-02","orthogonal","different decision"
"GR-11","KB-03","orthogonal","different decision"
"GR-11","KB-04","orthogonal","different decision"
"GR-11","KB-05","orthogonal","different decision"
"GR-11","KB-06","orthogonal","different decision"
